Year,Site,Mean_live_coral,Mean_total_coral,Coral_Dweller,Corallivore,Piscivore_primarily,Planktivore,Roving_Herbivore,Invertebrate_Consumer,Territorial_Herbivore
2007,LTER 1,35.2,44.73,-0.08,-0.77,-0.8,-0.65,-0.06,-0.6,-0.05
2008,LTER 1,16.35,33.57,-0.21,-0.98,-0.58,-0.47,-0.08,-0.35,0.05
2009,LTER 1,4.47,30.08,-0.68,-1.34,-0.15,0.01,0.61,0.66,-0.07
2010,LTER 1,0.1,0.1,-2.76,-2.79,-0.74,0.21,0.02,0.72,-0.42
2011,LTER 1,0.18,0.96,-2.56,-2.23,-0.74,-0.27,-0.07,0.22,-0.74
2012,LTER 1,2.31,3.11,-3.11,-2.16,-0.92,-0.4,-0.14,0.82,-0.36
2007,LTER 2,10.67,25.03,-0.35,-1.12,-0.46,-0.69,0.06,-0.39,-0.14
2008,LTER 2,1.86,16.82,-0.58,-1.01,-0.48,0.07,0.22,0,0.05
2009,LTER 2,0.23,10.24,-1.31,-1.33,0.09,-0.26,0.84,0.39,0.06
2010,LTER 2,0.1,0.67,-3.07,-2.58,-0.21,-0.09,0.62,0.6,-1.39
2011,LTER 2,0.3,1.87,-3.18,-2.87,-0.6,-0.49,0.62,0.12,-1.07
2012,LTER 2,1.41,3.13,-3.07,-2.18,-0.58,-0.7,0.29,0.44,-1.11
2007,LTER 3,20.74,35.09,-0.05,-0.04,-0.06,-0.14,0.08,-0.15,-0.07
2008,LTER 3,4.63,25.38,-0.06,-0.6,-0.6,-0.07,0.12,-0.21,0.38
2009,LTER 3,0.1,32.82,-0.57,-1.62,-0.08,0.11,0.56,0.64,-0.15
2010,LTER 3,0.1,16.76,-0.94,-1.46,-0.11,-0.01,0.74,0.53,-0.43
2011,LTER 3,0.1,8.04,-1.02,-1.75,-0.12,-0.36,0.65,0.62,-0.26
2012,LTER 3,0.31,8.33,-1.42,-1.68,-0.5,-0.12,0.66,0.39,-0.09
2007,LTER 4,23.79,30.32,-0.18,-0.68,-0.43,-0.22,-0.01,0.14,0.43
2008,LTER 4,23.51,31.78,0.41,-0.36,-0.06,-0.22,-0.19,0.23,0.88
2009,LTER 4,19.96,37.59,-0.11,-1.01,0.15,-0.08,0.69,0.48,0.56
2010,LTER 4,8.93,24.73,-0.61,-1.66,0.15,0.98,0.48,0.03,0.72
2011,LTER 4,0.92,5.46,-0.87,-2.4,0.08,-0.04,0.44,0.54,0.45
2012,LTER 4,0.41,4.46,-1.17,-1.85,0.12,0.8,0.14,0.23,0.56
2007,LTER 5,14.18,17.94,-0.15,-0.62,-0.12,-0.85,-0.79,0.21,0.14
2008,LTER 5,11.4,17.14,-0.04,-0.25,-0.41,-0.19,-0.19,0.18,0.47
2009,LTER 5,16.59,21.89,-0.38,-0.05,0.17,0.48,0.58,0.84,0.2
2010,LTER 5,3.76,10.85,-0.95,-1.31,-0.12,-0.1,0.17,0.72,0.54
2011,LTER 5,4.89,10.67,-1.34,-1.36,-0.46,-0.8,-0.08,0.24,0.55
2012,LTER 5,3.57,5.49,-1.94,-1.41,-0.08,-0.49,0.18,0.93,-0.1
2007,LTER 6,27.82,34.09,-0.2,-0.47,-0.39,-0.04,-0.4,-1.13,0.37
2008,LTER 6,17.46,30.94,-0.06,-0.86,-0.22,0.86,0.02,-1.1,0.59
2009,LTER 6,1.86,31.85,-0.73,-0.37,-0.02,0.24,0.32,-0.45,0.07
2010,LTER 6,0.15,12.3,-0.89,-2.08,-0.2,1,0.29,-0.81,0.86
2011,LTER 6,0.64,10.99,-1.2,-1.53,0.17,0.27,0.08,-0.63,0.82
2012,LTER 6,2.89,5.46,-1.47,-3,-0.42,0.31,0.22,-0.02,0.69